/* DATA DESCRIPTION:
Citation:	Priestley, Keith; McKenzie, Dan (2015): Lithospheric thickness of Pangea. PANGAEA, https://doi.org/10.1594/PANGAEA.847325, 
	Supplement to: Priestley, K; McKenzie, D (2013): The relationship between shear wave velocity, temperature, attenuation and viscosity in the shallow part of the mantle. Earth and Planetary Science Letters, 381, 78-91, https://doi.org/10.1016/j.epsl.2013.08.022
Abstract:	Surface wave tomography, using the fundamental Rayleigh wave velocities and those of higher modes between 1 and 4 and periods between 50 and 160 s, is used to image structures with a horizontal resolution of ~250 km and a vertical resolution of ~50 km to depths of ~300 km in the mantle. A new model, PM_v2_2012, obtained from 3×10**6 seismograms, agrees well with earlier lower resolution models. It is combined with temperature estimates from oceanic plate models and with pressure and temperature estimates from the mineral compositions of garnet peridotite nodules to generate a number of estimates of SV(P,T) based on geophysical and petrological observations alone. These are then used to estimate the unrelaxed shear modulus and its derivatives with respect to pressure and temperature, which agree reasonably with values from laboratory experiments. At high temperatures relaxation occurs, causing the shear wave velocity to depend on frequency. This behaviour is parameterised using a viscosity to obtain a Maxwell relaxation time. The relaxation behaviour is described using a dimensionless frequency, which depends on an activation energy E and volume Va. The values of E and Va obtained from the geophysical models agree with those from laboratory experiments on high temperature creep. The resulting expressions are then used to determine the lithospheric thickness from the shear wave velocity variations. The resolution is improved by about a factor of two with respect to earlier models, and clearly resolves the thick lithosphere beneath active intracontinental belts that are now being shortened. The same expressions allow the three dimensional variations of the shear wave attenuation and viscosity to be estimated.
Related to:	McKenzie, Dan; Daly, Mike; Priestley, Keith (2015): The lithospheric structure of Pangea. http://issues.pangaea.de/browse/PDI-10217, Geology, https://doi.org/10.1130/G36819.1
Coverage:	MEDIAN LATITUDE: -10.416610 * MEDIAN LONGITUDE: -2.007162 * SOUTH-BOUND LATITUDE: -89.136000 * WEST-BOUND LONGITUDE: -178.617000 * NORTH-BOUND LATITUDE: 89.506000 * EAST-BOUND LONGITUDE: 175.757000
Parameter(s):	LATITUDE (Latitude) * GEOCODE * PI: McKenzie, Dan (mckenzie@madingley.org)
	LONGITUDE (Longitude) * GEOCODE * PI: McKenzie, Dan (mckenzie@madingley.org)
	Thickness [km] (Thick) * PI: McKenzie, Dan (mckenzie@madingley.org) * COMMENT: of lithosphere
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	5864 data points
*/
Latitude	Longitude	Thick [km]
-78.810	42.674	151
-78.800	42.502	152
-78.788	42.332	153
-78.776	42.165	154
-78.762	42.001	155
-78.746	41.840	156
-78.730	41.682	157
-78.712	41.528	158
-78.694	41.377	159
-78.674	41.231	159
-78.653	41.088	160
-78.631	40.950	160
-78.609	40.816	161
-78.585	40.687	162
-78.560	40.563	163
-78.534	40.443	167
-78.508	40.329	168
-78.481	40.220	168
-78.453	40.116	169
-78.424	40.018	170
-78.394	39.925	171
-78.364	39.838	173
-78.333	39.757	174
-78.302	39.681	175
-78.270	39.611	176
-78.238	39.548	176
-78.205	39.490	177
-78.171	39.438	178
-78.138	39.391	179
-78.104	39.351	180
-78.070	39.317	181
-78.035	39.289	179
-78.001	39.267	179
-77.966	39.251	180
-77.931	39.240	180
-77.896	39.236	181
-77.861	39.237	181
-77.827	39.244	182
-77.792	39.257	182
-77.757	39.276	183
-77.723	39.300	183
-77.688	39.329	184
-77.654	39.364	184
-77.620	39.404	184
-77.587	39.450	185
-77.554	39.501	185
-77.521	39.557	186
-77.488	39.617	186
-77.457	39.683	187
-77.425	39.753	187
-77.394	39.828	188
-77.364	39.908	188
-77.334	39.992	188
-77.305	40.080	189
-77.277	40.172	189
-77.249	40.268	189
-77.222	40.369	190
-77.196	40.473	190
-77.171	40.580	190
-77.146	40.692	191
-77.122	40.806	191
-77.099	40.924	191
-77.077	41.045	192
-77.056	41.169	192
-77.036	41.296	192
-77.016	41.425	193
-76.998	41.557	193
-76.981	41.692	193
-76.964	41.828	193
-76.949	41.967	193
-76.934	42.108	193
-76.921	42.251	193
-76.909	42.395	193
-76.898	42.541	193
-76.888	42.688	193
-76.879	42.837	194
-76.871	42.987	193
-76.864	43.137	193
-76.858	43.289	193
-76.854	43.441	193
-76.850	43.594	193
-76.848	43.747	193
-76.846	43.900	192
-76.846	44.053	192
-76.847	44.207	192
-76.849	44.360	192
-76.853	44.513	191
-76.857	44.665	191
-76.863	44.816	191
-76.869	44.967	190
-76.877	45.117	190
-76.886	45.266	189
-76.896	45.413	189
-76.907	45.560	189
-76.919	45.704	188
-76.932	45.847	188
-76.946	45.988	188
-76.961	46.128	187
-76.977	46.265	187
-76.995	46.400	186
-77.013	46.532	186
-77.032	46.662	185
-77.052	46.789	185
-77.073	46.914	184
-77.095	47.035	184
-77.118	47.154	183
-77.141	47.269	183
-77.166	47.381	182
-77.191	47.489	182
-77.217	47.594	181
-77.244	47.695	181
-77.272	47.792	180
-77.300	47.885	179
-77.329	47.974	181
-77.358	48.059	180
-77.389	48.139	179
-77.419	48.215	178
-77.451	48.286	177
-77.482	48.353	176
-77.515	48.414	175
-77.547	48.471	173
-77.580	48.523	172
-77.614	48.569	171
-77.648	48.611	170
-77.682	48.647	168
-77.716	48.677	167
-77.751	48.702	167
-77.785	48.722	163
-77.820	48.736	162
-77.855	48.744	161
-77.734	58.201	112
-77.837	58.271	111
-77.941	58.324	110
-78.046	58.362	109
-78.150	58.382	109
-78.255	58.384	108
-78.360	58.368	107
-78.464	58.334	107
-78.568	58.281	106
-78.672	58.209	106
-78.775	58.116	105
-78.877	58.004	105
-78.979	57.871	104
-79.079	57.716	104
-79.179	57.541	104
-79.277	57.343	103
-79.373	57.124	103
-79.468	56.883	103
-79.561	56.619	103
-79.652	56.333	103
-79.741	56.024	102
-79.827	55.693	103
-79.912	55.339	103
-79.993	54.962	103
-80.072	54.564	103
-80.148	54.143	103
-80.220	53.701	103
-80.290	53.238	104
-80.355	52.754	104
-80.418	52.251	104
-80.476	51.728	105
-80.531	51.187	105
-80.582	50.629	106
-80.628	50.055	106
-80.671	49.466	106
-80.709	48.863	107
-80.742	48.248	107
-80.771	47.621	107
-80.796	46.986	108
-80.815	46.342	108
-80.830	45.693	108
-80.840	45.039	109
-80.846	44.382	109
-80.846	43.724	109
-80.842	43.067	110
-80.832	42.412	110
-80.818	41.762	110
-80.800	41.117	111
-80.776	40.480	111
-80.748	39.852	111
-80.715	39.234	112
-80.678	38.629	112
-80.637	38.037	112
-80.591	37.460	113
-80.541	36.899	113
-80.487	36.355	114
-80.429	35.829	114
-80.367	35.321	115
-80.302	34.834	116
-80.234	34.367	117
-80.162	33.921	118
-80.086	33.496	119
-80.008	33.093	121
-79.927	32.713	125
-79.844	32.355	129
-79.757	32.019	131
-79.669	31.706	132
-79.578	31.415	134
-79.486	31.147	135
-79.391	30.902	136
-79.295	30.678	138
-79.197	30.477	139
-79.098	30.297	141
-78.998	30.139	143
-78.897	30.002	146
-78.794	29.885	151
-78.691	29.789	155
-78.588	29.713	158
-78.484	29.656	161
-78.379	29.619	163
-78.275	29.600	166
-78.170	29.599	173
-78.065	29.615	176
-77.961	29.649	179
-77.857	29.700	181
-77.753	29.767	181
-77.650	29.849	182
-77.547	29.947	184
-77.446	30.060	185
-77.345	30.187	186
-77.245	30.328	188
-77.146	30.482	189
-77.048	30.650	190
-76.952	30.830	192
-76.856	31.022	194
-76.763	31.225	196
-76.670	31.440	197
-76.580	31.666	199
-76.491	31.903	200
-76.403	32.149	202
-76.318	32.405	203
-76.234	32.670	204
-76.153	32.945	205
-76.073	33.228	196
-75.995	33.519	196
-75.920	33.818	197
-75.847	34.124	197
-75.775	34.438	198
-75.707	34.758	198
-75.640	35.085	198
-75.576	35.419	198
-75.515	35.758	198
-75.456	36.103	198
-75.399	36.453	199
-75.345	36.808	199
-75.294	37.168	199
-75.245	37.532	199
-75.199	37.901	199
-75.156	38.273	199
-75.115	38.649	198
-75.078	39.029	199
-75.043	39.411	198
-75.010	39.797	198
-74.981	40.185	198
-74.954	40.575	198
-74.931	40.968	198
-74.910	41.362	198
-74.892	41.758	198
-74.877	42.155	198
-74.865	42.554	198
-74.856	42.953	198
-74.850	43.353	198
-74.847	43.753	197
-74.846	44.153	197
-74.849	44.554	197
-74.855	44.954	197
-74.863	45.353	197
-74.875	45.752	197
-74.889	46.149	197
-74.906	46.545	196
-74.927	46.940	196
-74.950	47.333	196
-74.976	47.724	204
-75.005	48.112	204
-75.036	48.498	203
-75.071	48.881	203
-75.108	49.261	202
-75.148	49.638	201
-75.191	50.011	200
-75.236	50.381	200
-75.285	50.746	199
-75.335	51.107	197
-75.389	51.463	196
-75.445	51.814	194
-75.504	52.160	193
-75.565	52.500	191
-75.628	52.834	189
-75.694	53.163	188
-75.762	53.485	187
-75.833	53.799	185
-75.906	54.107	184
-75.981	54.408	183
-76.058	54.700	181
-76.137	54.985	171
-76.219	55.261	167
-76.302	55.528	163
-76.387	55.786	160
-76.474	56.034	156
-76.563	56.272	151
-76.653	56.500	144
-76.745	56.717	141
-76.839	56.923	138
-76.934	57.117	136
-77.030	57.299	134
-77.127	57.469	132
-77.226	57.626	128
-77.326	57.770	121
-77.427	57.899	117
-77.528	58.015	115
-77.631	58.115	114
-77.266	67.196	100
-77.433	67.428	98
-77.601	67.640	96
-77.771	67.829	95
-77.942	67.996	94
-78.113	68.138	94
-78.286	68.255	94
-78.459	68.345	94
-78.633	68.408	94
-78.807	68.441	94
-78.982	68.443	94
-79.156	68.413	94
-79.330	68.350	94
-79.503	68.251	94
-79.676	68.116	94
-79.847	67.942	94
-80.018	67.728	94
-80.186	67.472	94
-80.353	67.172	94
-80.518	66.827	94
-80.680	66.435	94
-80.839	65.995	94
-80.995	65.504	94
-81.148	64.961	94
-81.296	64.364	94
-81.441	63.714	94
-81.580	63.007	94
-81.715	62.245	94
-81.844	61.425	94
-81.967	60.549	94
-82.084	59.616	94
-82.194	58.627	96
-82.297	57.583	98
-82.392	56.486	99
-82.479	55.339	100
-82.557	54.144	101
-82.627	52.905	102
-82.688	51.626	103
-82.739	50.313	104
-82.780	48.969	105
-82.812	47.602	105
-82.833	46.218	106
-82.845	44.823	106
-82.846	43.423	106
-82.836	42.026	106
-82.817	40.639	107
-82.787	39.269	107
-82.747	37.920	107
-82.698	36.601	107
-82.639	35.315	107
-82.571	34.068	107
-82.494	32.865	106
-82.409	31.708	106
-82.315	30.602	106
-82.214	29.548	106
-82.105	28.548	106
-81.990	27.605	106
-81.868	26.718	106
-81.740	25.887	106
-81.606	25.114	106
-81.467	24.397	107
-81.324	23.736	107
-81.176	23.130	107
-81.024	22.577	108
-80.869	22.076	108
-80.710	21.626	109
-80.548	21.225	110
-80.384	20.871	111
-80.218	20.563	112
-80.049	20.299	113
-79.880	20.077	114
-79.708	19.896	116
-79.536	19.753	119
-79.363	19.648	127
-79.189	19.578	131
-79.015	19.542	133
-78.840	19.539	135
-78.666	19.566	137
-78.492	19.623	138
-78.319	19.708	141
-78.146	19.820	144
-77.974	19.958	148
-77.803	20.120	154
-77.633	20.305	158
-77.465	20.512	162
-77.298	20.741	164
-77.132	20.990	169
-76.969	21.257	178
-76.807	21.544	181
-76.647	21.847	184
-76.489	22.168	184
-76.334	22.504	186
-76.181	22.855	187
-76.030	23.220	189
-75.882	23.600	191
-75.737	23.992	194
-75.594	24.397	196
-75.455	24.813	199
-75.318	25.241	201
-75.184	25.680	203
-75.053	26.129	205
-74.926	26.588	197
-74.801	27.056	198
-74.680	27.532	199
-74.563	28.017	199
-74.449	28.511	200
-74.338	29.011	200
-74.231	29.519	200
-74.128	30.034	200
-74.028	30.555	200
-73.932	31.082	200
-73.840	31.615	200
-73.752	32.154	200
-73.667	32.698	199
-73.587	33.246	199
-73.510	33.799	198
-73.438	34.356	198
-73.369	34.918	197
-73.305	35.483	206
-73.245	36.051	205
-73.188	36.622	204
-73.137	37.197	204
-73.089	37.774	203
-73.045	38.354	203
-73.006	38.935	202
-72.971	39.519	202
-72.940	40.104	202
-72.914	40.691	202
-72.892	41.279	202
-72.874	41.868	202
-72.861	42.458	202
-72.852	43.049	203
-72.847	43.640	203
-72.847	44.231	203
-72.851	44.822	204
-72.859	45.412	204
-72.871	46.002	204
-72.888	46.592	204
-72.910	47.180	204
-72.935	47.767	205
-72.965	48.353	205
-72.999	48.937	205
-73.038	49.519	205
-73.080	50.099	205
-73.127	50.677	205
-73.178	51.252	205
-73.234	51.824	205
-73.293	52.393	204
-73.357	52.958	204
-73.424	53.520	204
-73.496	54.078	202
-73.572	54.632	202
-73.652	55.181	201
-73.735	55.726	200
-73.823	56.266	198
-73.914	56.800	196
-74.010	57.328	194
-74.109	57.850	192
-74.211	58.366	190
-74.318	58.876	188
-74.428	59.378	186
-74.541	59.872	183
-74.658	60.359	178
-74.778	60.837	172
-74.902	61.307	167
-75.029	61.767	143
-75.159	62.218	139
-75.292	62.659	135
-75.429	63.089	132
-75.568	63.508	117
-75.710	63.915	114
-75.855	64.309	112
-76.002	64.691	110
-76.152	65.059	108
-76.305	65.413	107
-76.460	65.752	106
-76.617	66.076	104
-76.777	66.383	103
-76.938	66.672	102
-77.101	66.943	101
-76.520	75.388	94
-76.741	75.835	94
-76.964	76.262	94
-77.190	76.669	94
-77.419	77.055	94
-77.650	77.417	94
-77.883	77.754	94
-78.118	78.066	94
-78.355	78.349	94
-78.593	78.602	94
-78.833	78.823	94
-79.074	79.010	94
-79.316	79.160	94
-79.559	79.271	94
-79.802	79.339	94
-80.046	79.361	94
-80.290	79.335	94
-80.533	79.256	94
-80.776	79.120	94
-81.018	78.924	94
-81.258	78.661	94
-81.497	78.328	94
-81.733	77.919	94
-81.966	77.427	94
-82.197	76.848	94
-82.423	76.173	94
-82.645	75.398	94
-82.862	74.513	94
-83.072	73.513	94
-83.276	72.390	94
-83.473	71.137	94
-83.660	69.749	94
-83.838	68.219	94
-84.006	66.545	97
-84.161	64.723	99
-84.303	62.754	101
-84.431	60.642	102
-84.544	58.392	104
-84.640	56.016	105
-84.719	53.529	105
-84.780	50.948	106
-84.821	48.298	107
-84.843	45.602	108
-84.845	42.890	108
-84.827	40.190	108
-84.789	37.529	108
-84.732	34.933	108
-84.657	32.426	108
-84.564	30.028	108
-84.454	27.754	107
-84.328	25.615	107
-84.189	23.619	107
-84.036	21.769	106
-83.871	20.067	106
-83.695	18.510	105
-83.509	17.096	104
-83.314	15.818	104
-83.111	14.671	104
-82.902	13.648	104
-82.686	12.743	104
-82.465	11.947	104
-82.240	11.254	104
-82.010	10.657	105
-81.777	10.149	105
-81.541	9.725	106
-81.303	9.378	107
-81.063	9.103	108
-80.821	8.894	109
-80.579	8.747	110
-80.336	8.658	111
-80.092	8.622	112
-79.848	8.636	113
-79.605	8.695	115
-79.362	8.798	117
-79.120	8.941	120
-78.878	9.121	124
-78.638	9.336	128
-78.399	9.583	130
-78.162	9.861	132
-77.927	10.167	133
-77.694	10.500	135
-77.462	10.857	136
-77.233	11.238	137
-77.007	11.641	139
-76.783	12.065	141
-76.561	12.508	144
-76.343	12.969	149
-76.127	13.448	154
-75.915	13.943	157
-75.706	14.453	161
-75.500	14.977	165
-75.297	15.515	170
-75.098	16.066	181
-74.903	16.629	184
-74.711	17.204	186
-74.524	17.789	188
-74.340	18.385	190
-74.160	18.990	194
-73.984	19.605	197
-73.812	20.228	201
-73.644	20.860	203
-73.481	21.500	205
-73.322	22.147	207
-73.168	22.801	201
-73.018	23.462	201
-72.873	24.129	202
-72.732	24.802	202
-72.596	25.480	202
-72.464	26.164	201
-72.338	26.853	201
-72.216	27.547	200
-72.100	28.246	199
-71.988	28.948	206
-71.881	29.655	205
-71.779	30.365	203
-71.683	31.079	202
-71.591	31.796	200
-71.505	32.516	199
-71.424	33.239	197
-71.348	33.964	196
-71.277	34.692	195
-71.212	35.422	195
-71.151	36.155	194
-71.097	36.889	194
-71.047	37.625	194
-71.003	38.362	194
-70.965	39.100	195
-70.932	39.840	196
-70.904	40.581	197
-70.881	41.322	198
-70.865	42.064	199
-70.853	42.807	200
-70.847	43.550	201
-70.847	44.292	202
-70.852	45.035	203
-70.862	45.778	204
-70.878	46.520	204
-70.899	47.262	204
-70.926	48.002	205
-70.958	48.742	205
-70.996	49.481	204
-71.039	50.219	205
-71.087	50.955	204
-71.141	51.689	204
-71.200	52.422	205
-71.264	53.152	205
-71.334	53.881	205
-71.409	54.607	205
-71.489	55.330	206
-71.574	56.051	206
-71.665	56.769	206
-71.761	57.483	198
-71.861	58.194	198
-71.967	58.901	197
-72.078	59.604	197
-72.194	60.304	205
-72.315	60.998	204
-72.440	61.688	202
-72.571	62.373	201
-72.706	63.053	198
-72.846	63.727	194
-72.990	64.395	191
-73.139	65.057	187
-73.293	65.712	182
-73.451	66.361	173
-73.613	67.002	166
-73.780	67.635	161
-73.951	68.260	133
-74.126	68.877	115
-74.305	69.484	112
-74.489	70.081	109
-74.676	70.669	108
-74.867	71.246	106
-75.061	71.811	104
-75.260	72.364	103
-75.461	72.905	102
-75.667	73.432	100
-75.875	73.944	98
-76.087	74.442	97
-76.302	74.924	95
-75.538	82.613	94
-75.803	83.287	94
-76.071	83.947	94
-76.343	84.594	94
-76.619	85.226	94
-76.899	85.842	94
-77.181	86.441	94
-77.467	87.021	94
-77.756	87.581	94
-78.047	88.120	94
-78.342	88.635	94
-78.639	89.126	94
-78.939	89.588	94
-79.241	90.021	94
-79.545	90.421	94
-79.851	90.784	94
-80.159	91.109	94
-80.468	91.390	94
-80.778	91.623	94
-81.090	91.803	94
-81.402	91.924	94
-81.715	91.979	94
-82.028	91.961	94
-82.340	91.860	94
-82.652	91.667	94
-82.963	91.369	94
-83.272	90.952	94
-83.578	90.401	94
-83.881	89.697	94
-84.181	88.818	94
-84.475	87.738	94
-84.763	86.429	94
-85.043	84.856	94
-85.313	82.984	94
-85.572	80.769	95
-85.816	78.169	97
-86.044	75.142	99
-86.251	71.648	101
-86.433	67.665	102
-86.587	63.189	103
-86.709	58.256	104
-86.794	52.940	105
-86.839	47.364	106
-86.843	41.685	106
-86.805	36.077	107
-86.728	30.701	107
-86.613	25.689	107
-86.465	21.123	107
-86.287	17.046	107
-86.084	13.462	107
-85.860	10.349	107
-85.619	7.672	107
-85.363	5.388	107
-85.094	3.454	106
-84.816	1.829	106
-84.530	0.472	106
-84.237	-0.648	105
-83.938	-1.563	105
-83.636	-2.299	105
-83.330	-2.877	105
-83.021	-3.318	105
-82.711	-3.637	105
-82.399	-3.849	105
-82.087	-3.966	106
-81.774	-3.999	107
-81.461	-3.957	107
-81.149	-3.848	108
-80.837	-3.679	109
-80.526	-3.456	110
-80.217	-3.183	111
-79.909	-2.867	113
-79.602	-2.510	114
-79.298	-2.117	115
-78.996	-1.690	117
-78.695	-1.233	118
-78.398	-0.748	120
-78.103	-0.237	121
-77.810	0.298	123
-77.521	0.854	125
-77.235	1.431	127
-76.952	2.026	127
-76.672	2.639	129
-76.395	3.268	130
-76.122	3.912	131
-75.853	4.570	133
-75.587	5.241	134
-75.326	5.924	135
-75.068	6.619	137
-74.815	7.325	138
-74.565	8.040	141
-74.320	8.766	144
-74.080	9.500	152
-73.844	10.242	158
-73.612	10.993	163
-73.385	11.751	168
-73.163	12.516	176
-72.945	13.288	183
-72.733	14.066	190
-72.525	14.850	194
-72.323	15.640	198
-72.125	16.435	203
-71.933	17.235	205
